[name],[definition]
Deep Reinforcement Learning (DRL),"A machine learning technique that combines deep learning with reinforcement learning, where an agent learns to make decisions in an environment by maximizing a reward signal through trial and error."
Deep Boltzmann Machines (DBM),"A deep generative model that uses a network of stochastic binary units to learn complex distributions of input data, and can be used for unsupervised feature learning, dimensionality reduction, and generation of new samples."
Deep Autoencoder,"A deep neural network that learns to compress and reconstruct input data, by encoding it into a lower-dimensional representation and then decoding it back to the original form, and can be used for unsupervised feature learning, anomaly detection, and data denoising."
Stacked Autoencoder,"A type of deep auto-encoder that consists of multiple layers of encoding and decoding units, trained in a greedy layer-wise fashion, and can be used for unsupervised feature learning, dimensionality reduction, and transfer learning."
Denoising Autoencoder,"A variant of auto-encoder that learns to remove noise from input data by training on corrupted data and reconstructing the original clean data, and can be used for data denoising and anomaly detection."
Non-Symmetric Autoencoder,"A type of auto-encoder that uses different weights for the encoding and decoding layers, allowing for a more flexible representation of the input data, and can be used for unsupervised feature learning and transfer learning."
Sparse Autoencoder,"A variant of auto-encoder that learns to represent the input data with a sparse code, by adding a sparsity constraint to the loss function, and can be used for unsupervised feature learning and dimensionality reduction."
Convolutional Autoencoder,"A type of auto-encoder that uses convolutional layers for the encoding and decoding of input data, allowing for the efficient processing of high-dimensional images or signals, and can be used for unsupervised feature learning, data compression, and generation."
Kernel-Based Extreme Learning Machine (KELM),"A type of neural network that uses random feature maps and kernel functions to perform fast and efficient nonlinear regression or classification of input data, and can be used for supervised learning and data analysis."
Radial Basis Function (RBF),"Radial basis function, a type of kernel function used in machine learning to transform input data into a high-dimensional feature space, allowing for nonlinear modeling of complex relationships."
LIBSVM,"A library for support vector machine (SVM) classification and regression, which uses a kernel-based approach and can handle linear and nonlinear problems with high-dimensional input data."
DBN-KELM,"A hybrid model that combines deep belief networks (DBN) and KELM, to learn hierarchical representations of input data and perform fast and accurate classification or regression tasks."
Restricted Boltzmann Machines (RBM),"Restricted Boltzmann Machine, a generative model that learns to represent input data with a probability distribution, and can be used for unsupervised feature learning, dimensionality reduction, and data generation."
Feed-Forward ANN,"A type of artificial neural network that consists of layers of interconnected processing units, and can be used for supervised learning tasks such as classification or regression, by processing input data in a forward direction."
Probabilistic Neural Network (PNN),"A type of feed-forward neural network that uses a radial basis function kernel and a probabilistic interpretation of the output layer, to perform classification or regression tasks with uncertain or noisy input data."
DBN-PNN,"A hybrid model that combines deep belief networks (DBN) and probabilistic neural networks (PNN), to learn hierarchical representations of input data and perform fast and accurate classification or regression tasks."
Incremental CNN (ICNN),"Interpretable Convolutional Neural Network, a type of deep learning model that uses sparse activations and interpretable filters to perform image classification tasks while providing insights into the learned features and patterns."
Adaptive Synthetic Sampling (ADASYN),"A data augmentation technique that generates synthetic samples of the minority class by adaptively increasing the difficulty of misclassified examples, to address class imbalance in classification tasks."
Imbalanced GAN (IGAN),"A type of generative adversarial network (GAN) that uses a modified loss function and a feature matching strategy, to generate synthetic samples of the minority class that better represent the underlying distribution in imbalanced classification tasks."
Mini-VGGNet,"A small convolutional neural network architecture based on the VGGNet, that consists of multiple layers of convolutional and pooling operations, and can be used for image classification tasks with limited computational resources."
LibLinear SVM,A support vector machine algorithm for linearly separable datasets that uses a linear kernel.
LogitBoost,An iterative ensemble learning algorithm that combines logistic regression models and adaptively weights training instances based on their misclassification rate.
Random Committee,An ensemble learning technique that combines multiple models trained on different subsets of the features or instances of the training data to improve diversity and accuracy.
Rotation Forest,An ensemble learning technique that combines multiple models trained on different random rotations of the feature space to improve diversity and accuracy.
Shallow Neural Network (SNN),A neural network architecture that contains only one hidden layer and can be trained using backpropagation.
Siamese Neural Network,A neural network architecture that contains two identical subnetworks that share the same weights and are trained to learn a similarity metric between pairs of inputs.
Abstract Syntax Tree Neural Network (ASTNN),A neural network architecture that combines a recursive neural network and a convolutional neural network to model hierarchical structures in sequential data.
X-Means,A clustering algorithm that extends the k-means algorithm by using a dynamic number of clusters that are determined using a Bayesian information criterion.
Adaptive K-Nearest Neighbour,A variation of the k-nearest neighbour algorithm that adapts the number of neighbours used for classification based on the density of the data points in the local neighbourhood.
Auto-Regressive Integrated Moving Average (ARIMA),"A time series forecasting model that uses autoregressive, integrated, and moving average components to capture trends, seasonality, and noise in the data."
Decision Table,A rule-based classification algorithm that represents the decision boundary using a table of conditions and actions.
Dynamic Comparative Learning,A supervised learning algorithm that learns from comparisons between instances and is particularly effective for imbalanced datasets.
Extra Trees,An ensemble learning technique that combines multiple decision trees trained on random subsets of the features and splits to improve diversity and accuracy.
K* Classifier,A variation of the k-nearest neighbour algorithm that takes into account the difference in the density of data points in each class for classification.
Random Tree,A decision tree algorithm that selects the best split among a random subset of features at each node to improve diversity and accuracy.
RBF Classifier,A classifier that uses radial basis function kernels to transform the input space and separate the classes using a linear boundary.
RBF Network,A neural network architecture that uses radial basis function units in the hidden layer to model non-linear relationships between the inputs and outputs.
Sequential Minimal Optimization (SMO),"Support Vector Machine Optimization (SMO): In machine learning, SMO is often used as an abbreviation for ""Sequential Minimal Optimization,"" which is a specific algorithm for training support vector machines efficiently."
Stochastic Gradient Descent (SGD),Stochastic Gradient Descent is an optimization algorithm used for minimizing the loss function in neural networks and other machine learning models.
Affinity Propagation Clustering,Affinity Propagation Clustering is a clustering algorithm that creates clusters by finding examples that are representative of each cluster and messages that describe the relationships between them.
Fractal Clustering,Fractal Clustering is a clustering method that uses fractal geometry to identify self-similar patterns within the data.
Gaussian Mixture Model (GMM) Clustering,GMM Clustering is a probabilistic clustering algorithm that models the data distribution as a mixture of Gaussian distributions.
Sequential Information Bottleneck Clustering,Sequential Information Bottleneck Clustering is a clustering algorithm that identifies the most informative features that best represent the data.
Subtractive Clustering,Subtractive Clustering is a clustering technique that uses a radial basis function (RBF) network to identify clusters based on the distance between data points and the RBF centers.
Graph Convolutional Network (GCN),"Graph Convolutional Network is a type of neural network designed to work with graph data, which can model relationships between entities, by performing convolutions over the graph structure."
Tree-Based Convolutional Neural Network (TBCNN),"Tree-based Convolution is a convolutional neural network designed to operate on data with a tree-like structure, such as molecules or syntax trees."
Bidirectional RNN,Bidirectional RNN is a type of recurrent neural network that processes input data in both forward and backward directions to capture temporal dependencies in both directions.
Recursive Autoencoder,"Recursive Autoencoder is a type of autoencoder that can process hierarchical structures, such as trees or graphs."
Deep Residual Networks,Deep Residual Networks are a type of neural network that utilize skip connections to enable the training of very deep networks while avoiding the problem of vanishing gradients.
General Regression Neural Network (GRNN),The General Regression Neural Network (GRNN) is a type of neural network that uses radial basis functions to approximate the input-output mapping.
Wavenet (WNN),WaveNet (WNN) is a deep neural network that uses dilated causal convolution to generate high-quality speech and audio waveforms.
Functional Link Artificial Neural Network (FLANN),Functional Link Artificial Neural Network (FLANN) is a type of neural network that uses a functional link between the input and hidden layers to improve the network's performance.
Spiking Neural Network (SNN),Spiking Neural Network (SNN) is a type of neural network that models the behavior of biological neurons and their interactions to process and transmit information.
Cascade Correlation Neural Network (CCNN),Cascade Correlation Neural Network (CCNN) is a type of neural network that dynamically grows its architecture by adding neurons and connections to the network during the training process.
Feedforward Backpropagation Neural Network (FFBPNN),FFBBPNN (Feedforward Backpropagation Neural Network) is a type of artificial neural network that uses a backpropagation algorithm to adjust the network's weights during the training process.
Elman Backpropagation Neural Network (Elman BPNN),Elman BPNN is a type of neural network that uses feedback connections to the hidden layer to model temporal dependencies in sequential data.
Cascaded FFBPNN,Cascaded FFBPNN is a type of neural network that combines multiple feedforward neural networks to improve the network's performance on complex problems.
Case-Based Reasoning (CBR),Case-based Reasoning (CBR) is a problem-solving method that uses past experiences to solve new problems.
Artificial Bee Colony (ABC),Artificial Bee Colony (ABC) is a swarm intelligence algorithm inspired by the foraging behavior of honeybees.
Quasi-Optimal Neural Network,Quasi-Optimal Neural Network is a type of neural network that uses a genetic algorithm to optimize its architecture and parameters for a given problem.
Multiresolution Analysis (MRA),Multiresolution Analysis (MRA) Model is a mathematical framework for analyzing signals and images at different scales using wavelets.
Sliding Window Regression (SWR),Sliding Window Regression (SWR) is a method of modeling time series data that involves fitting a regression model to a sliding window of data points.
Modular Deep Learning Pipeline (MDELP),Modular Deep Learning Pipeline (MDELP) is a framework for developing and training deep learning models in a modular and reusable way.
Random Hidden Markov Model (RHM),Random Hidden Markov Model (RHM) is a type of hidden Markov model that randomly selects a subset of the hidden states to model a sequence.
Stepwise Linear Regression (SLR),Stepwise Linear Regression (SLR) is a method of selecting the most significant variables for a linear regression model by adding or removing variables one at a time.
Group Method of Data Handling (GMDH),Group Method of Data Handling (GMDH) is an algorithm for building polynomial regression models that iteratively selects and combines the best input variables.
Genetic Programming,Genetic Programming is an evolutionary algorithm that evolves a population of programs to solve a given task.
Auto-Regressive Neural Networks (AR-NN),Autoregressive Neural Networks (AR-NN) model the time series as a function of its past values and use the output of the model as the prediction of the next value.
Fuzzy-NN,Neuro-fuzzy networks combine the adaptability of neural networks with the interpretability of fuzzy logic systems.
Jump Neural Networks,Jump Neural Networks is a type of neural network that is designed to handle input variables with sudden and large variations.
Layer Recurrent Network,"Layer Recurrent Network is a neural network architecture that allows the connections between neurons to form directed cycles, enabling it to process sequences of inputs."
Nonlinear Auto-Regressive Neural Network with External Input (NARX-Net),Nonlinear Autoregressive Neural Network with External Input (NARX-net) is a type of neural network that is used for time-series forecasting and can take past inputs and external inputs to predict future outputs.
Fully Adaptive Regularized Learning (FARL),Fully Adaptive Regularized Learning (FARL) is an optimization algorithm that combines L2 regularization and gradient descent to find the optimal weights of a neural network model.
Time-Lagged Feed-Forward NN,"Time-Lagged Feed-Forward NN is a type of neural network that is used for time-series prediction, where the input layer takes the past values of the time-series as inputs and the output layer predicts the next value."
Recurrent Multilayer Perceptron (RMLP),Recurrent Multilayer Perceptron (RMLP) is a neural network architecture that is designed for processing sequential data by introducing recurrent connections between neurons.
Single Layer Perceptron (SLP),Single Layer Perceptron (SLP) is a type of neural network that consists of a single layer of output neurons that compute a linear combination of the inputs and produce a binary output.
Kohonen's SOM,Kohonen's Self-Organizing Maps (SOM) is an unsupervised learning technique that projects high-dimensional input data into a low-dimensional map while preserving the topological structure of the input space.
Hopfield Networks,Hopfield Networks is a type of recurrent neural network that is used for associative memory and pattern recognition tasks.
Kernel Function (KF),"Kernel Function (KF) is a function that maps data from one space to another, typically a higher-dimensional space, to enable the use of linear algorithms in nonlinear problems."
IB1,IB1 (Instance-Based learner 1) is a simple k-nearest neighbor (k-NN) algorithm where the class of a new data instance is determined by the majority class of its k nearest neighbors in the training dataset.
ZFNet,"A convolutional neural network architecture for image recognition that introduces the concept of a ""deconvolutional"" layer to upsample feature maps."
UNet,A deep convolutional neural network architecture for semantic segmentation tasks that combines downsampling and upsampling paths to preserve spatial information.
SegNet,A deep convolutional encoder-decoder neural network architecture for semantic segmentation tasks that uses max-pooling indices for upsampling.
Autoencoder (AE),"An unsupervised learning algorithm that learns to reconstruct its input, typically used for feature learning or data compression."
RefineNet,A multi-path refinement network for image segmentation tasks that aggregates different levels of feature maps with refinement modules.
Spatially Constrained CNN (SC-CNN),A convolutional neural network architecture that enforces spatial constraints to improve feature learning and reduce overfitting.
PSPNet,A deep convolutional neural network architecture for semantic segmentation tasks that uses a pyramid pooling module to capture global contextual information at multiple scales.
MILD-Net,"A deep learning model for medical image segmentation that uses a multi-scale input, an attention-based fusion module, and a dilated convolutional neural network architecture."
Classification and Regression Tree (CART),"A decision tree-based algorithm used for both classification and regression tasks, which recursively partitions data into subsets based on features to produce a tree-like model."
Exponential Regression,"A regression method that models a dependent variable using an exponential function, where the logarithm of the dependent variable is linearly related to the independent variable(s)."
Generalized Linear Model (GLM),"A flexible regression framework that can handle a variety of response distributions and link functions, allowing for modeling of non-normally distributed data and incorporating nonlinear relationships between predictors and response."
Bayesian Ridge Regression,"A Bayesian variant of linear regression that adds a ridge regularization term to the likelihood function, allowing for regularization of the regression coefficients and handling multicollinearity."
Bagged AdaBoost (AdaBag),"An ensemble learning method that combines multiple weak classifiers using the Adaboost algorithm and aggregates their predictions using bagging, resulting in a more accurate and robust classifier."
Stochastic Gradient Boosting (SGB),"Another ensemble method that combines multiple weak learners using gradient boosting, which sequentially fits new models to the residuals of the previous models, using a random subset of the data for each iteration to avoid overfitting."
Expectation Maximization for Naive Bayes (EMNB),"An algorithm for estimating the parameters of a naive Bayes model from incomplete data, where the likelihood function is maximized using the expectation-maximization algorithm."
Directed Acyclic Graph (DAG),"A graphical model used to represent the dependencies between variables in a system, which can be used for both inference and prediction."
Stochastic Automata Network (SAN),"A type of dynamic Bayesian network used to model systems that exhibit discrete and stochastic behavior over time, such as biological systems or traffic networks."
Multiple Knapsack,"A combinatorial optimization problem where a set of items with different values and weights must be packed into a limited number of knapsacks with capacity constraints, while maximizing the total value packed."
Branch-and-Bound,"An algorithmic framework used for solving optimization problems, which involves branching out into smaller subproblems and bounding their possible solutions, allowing for the search space to be pruned and the optimal solution to be found more efficiently."
Branch-and-Cut,A variant of the branch-and-bound algorithm that includes additional cutting planes or inequalities to further reduce the search space and improve the efficiency of the optimization.
Simulated Annealing (SA),"A stochastic optimization method that mimics the process of annealing in materials science, where a system is slowly cooled to reduce its energy and achieve a more stable state. SA uses a similar iterative process to explore the search space and find the optimal solution."
Multi-Armed Bandit (MAB),"A problem in probability theory and optimization where a gambler must decide which of several slot machines (or ""one-armed bandits"") to play, while trying to maximize their expected winnings over time. In machine learning, MAB algorithms can be used to solve similar problems involving sequential decision-making and trade-offs between exploration and exploitation."
Contractive Autoencoder (CAE),Contractive autoencoder (CAE) is an autoencoder architecture that adds a regularization term to the cost function to enforce the learned representations to be robust to small perturbations in the input.
Conditional Variational Autoencoder (CVAE),"Conditional Variational Autoencoder (CVAE) is a type of autoencoder that is trained to generate samples from a conditional distribution, by modeling the joint distribution of input and output variables using a variational approach."
Variational Fair Autoencoder (VFAE),"Variational Fair Autoencoder (VFAE) is a fairness-aware variant of the standard variational autoencoder (VAE), where the training objective incorporates a fairness constraint that encourages the learned representations to be invariant to sensitive attributes."
Conditional Variational Autoencoder with GAN (CVAE-GAN),Conditional Variational Autoencoders with GAN (CVAE-GAN) is a hybrid model that combines the CVAE and Generative Adversarial Networks (GAN) architectures to learn a conditional generative model for generating complex data samples.
Channel-Recurrent Variational Autoencoder (CRVAE),"Channel-Recurrent Variational Autoencoder (CRVAE) is a variant of the standard VAE architecture that adds a recurrent structure to the encoder network, allowing the model to capture temporal dependencies in the input data."
Wasserstein Autoencoder (WAE),"Wasserstein Autoencoder (WAE) is an autoencoder architecture that uses the Wasserstein distance as a divergence measure between the data distribution and the learned representation distribution, to encourage the model to learn meaningful features."
Kernel Method Autoencoder (KAE),Kernel Method Autoencoder (KAE) is a nonlinear autoencoder architecture that uses kernel methods to map the input data to a higher-dimensional space where the learned representations are more separable.
Pixel Variational Autoencoder (PicxIVAE),"Pixel Variational Autoencoder (PixcVAE) is a variant of the standard VAE that is designed for image data, where the decoder network generates pixel-level predictions for each image pixel, instead of a compressed latent code."
Cramer-Wold Autoencoder (CWAE),Cramer-Wold Autoencoder (CWAE) is an autoencoder architecture that uses the Cramer-Wold distance as a divergence measure to compare the learned representation distribution with a target prior distribution.
Nouveau Variational Autoencoder (NVAE),"Nouveau Variational Autoencoder (NVAE) is a state-of-the-art autoencoder architecture that uses a hierarchical encoder-decoder structure, where the encoder network predicts the distribution of the latent code, and the decoder network generates the output from the sampled latent code."
Dizygotic Conditional Variational Autoencoder (DCVAE),A type of variational autoencoder that can disentangle the latent variables of different observations in the input data.
Kernelized Linear Autoencoder (KLAE),A linear autoencoder that uses a kernel function to implicitly map the input data to a higher-dimensional space for better feature representation.
Dual Contradistinctive Generative Autoencoder (DC-VAE),A generative model that can learn to generate diverse samples from the input data by simultaneously training two autoencoders with different objectives.
PixelCNN,A type of autoregressive model for generating images that predicts the probability distribution of each pixel value given its context.
Locally Constrained Sparse Autoencoder (LCSAE),A sparse autoencoder that imposes local constraints on the weight matrix to encourage the learning of local features.
Deep Contradiction Neural Network (DSCNN),A neural network that integrates a contradiction layer to explicitly model the contradictory relationship between different concepts in the input data.
Coupled Autoencoder Network (CAN),A type of autoencoder network that uses a coupling layer to align the latent representations of different input modalities for better fusion.
Compact Convolutional Autoencoder (CCAE),An autoencoder that uses compact convolutional filters to reduce the number of parameters and improve the computational efficiency.
Multi-Head DNN,A deep neural network that uses multiple parallel heads to learn different aspects of the input data and aggregate the outputs.
Integrated Extreme Machine Learning (IELM),An extreme learning machine that integrates feature learning and classification in a unified framework for better efficiency and accuracy.
PixelNN,A neural network that uses a softmax function to model the joint distribution of pixel values in an image.
Multiple Logistic Regression (MLR),A statistical method that models the relationship between multiple independent variables and a dependent variable using logistic regression.
Gaussian Naive Bayes (GNB),Gaussian Naive Bayes (GNB) is a probabilistic classifier that uses Bayes' theorem and assumes that the input features are independent and normally distributed to make predictions.
EfficientNet,A family of neural network architectures that use a compound scaling method to optimize the balance between model accuracy and efficiency.
Conditional Random Fields as Recurrent Neural Network (CRFasRNN),A neural network that integrates a conditional random field layer to model the dependencies between adjacent output variables in sequence labeling tasks.
DeepLabCut,A software package that uses a deep neural network to track the positions of keypoints in videos of animals or humans for behavioral analysis.
YOLO,A real-time object detection system that uses a single neural network to simultaneously predict the class probabilities and bounding boxes of objects in images.
ShapeNet,"A large-scale 3D object dataset that can be used for shape recognition, retrieval, and generation tasks."
SSD,A neural network that uses a set of convolutional filters of different sizes to detect objects at different scales and aspect ratios in images.
Darknet,"A neural network framework that supports a variety of deep learning models, including YOLO, and is optimized for GPU computation."
Enhanced Fusion MobileNetV3 You Only Look Once (EFMYOLO),A neural network that combines the efficient MobileNetV3 backbone with an enhanced fusion module to improve the accuracy and efficiency of YOLO.
PnasNet,A neural network architecture that uses a path-level scaling method to learn to balance the complexity and accuracy of different pathways in the network.
Gray Level Co-Occurrence Matrix Convolutional Neural Network (GLCM-CNN),A neural network that uses gray level co-occurrence matrices to extract texture features from images for classification tasks.
CSRNet,A neural network that uses dilated convolutional filters and a scale-aware loss function to accurately estimate the crowd density in images.
LCFCN,A neural network that integrates a coarse-to-fine approach and a long-term feature aggregation module to improve the accuracy and efficiency of semantic segmentation.
FSSCapsDetCountNet,A neural network that uses a combination of fully-convolutional and capsule layers to accurately count the number of objects in images.
CapsNet,"A neural network architecture that uses capsules, which are groups of neurons that represent different properties of an object, to learn to recognize complex visual patterns."
NasNet,A neural network architecture that uses a neural architecture search algorithm to automatically discover the optimal network architecture for a given task.
Bonnet,A neural network framework that supports fast prototyping and training of deep learning models for computer vision and natural language processing.
One-Against-All SVM,A multi-class SVM approach where a binary SVM is trained for each class against the rest.
One-Against-One SVM,A multi-class SVM approach where a binary SVM is trained for each pair of classes and the class with the most votes is selected as the final prediction.
DAGSVM,A multi-class SVM approach that constructs a directed acyclic graph to model the dependencies between different classes.
OC-SVM,"A type of SVM that is trained to identify outliers or anomalies in the data, rather than separating different classes."
TWSVM,A variant of SVM that uses twin hyperplanes to improve the separation between different classes.
OAR-SVM,A multi-class SVM approach that uses orthogonal axes to represent the decision boundaries between different classes.
Adaptive DAGSVM,A variant of DAGSVM that adjusts the structure of the graph dynamically based on the classification performance of the SVMs.
EMCSVM,A variant of SVM that uses the expectation-maximization algorithm to handle imbalanced datasets by adjusting the misclassification costs.
Fuzzy SVM,A type of SVM that uses fuzzy logic to handle uncertainty and imprecision in the data.
K-Medoids,A clustering algorithm that iteratively selects medoids (representative objects) and assigns each data point to the closest medoid to form clusters.
Support Vector Data Description (SVDD),A one-class classification method that learns a hypersphere in the feature space to describe the target class.
Nonparallel Plane Proximal Classifier,A linear classifier that uses a novel distance measure to improve classification accuracy on noisy data.
Ant Colony,An optimization algorithm inspired by the behavior of ant colonies that iteratively constructs solutions to problems such as the traveling salesman problem.
Neural Fuzzy,A hybrid method that combines fuzzy logic and neural networks to handle uncertainty and imprecision in the data.
Quadratic Classifier,A classification method that models the decision boundary between classes as a quadratic function.
Rough Hypercuboid Classifier,A classification method that divides the feature space into hypercubes and models the decision boundary between classes as a hyperplane within each hypercube.
Discriminant Analysis Classifiers,A family of linear classifiers that model the distribution of each class using a Gaussian distribution or a linear discriminant function.
Evolutionary Programming (EP),An optimization method that uses genetic algorithms to evolve solutions to complex problems.
Rough Set (RS),A method that identifies the essential features of the data by removing redundant and irrelevant attributes based on their contribution to the classification accuracy.
Kernel Density,A non-parametric method that estimates the probability density function of the data by summing the kernel functions centered at each data point.
Voted Perceptron,A variant of the perceptron algorithm that maintains multiple weight vectors and combines their outputs to make predictions.
MultiBoost,An ensemble learning method that combines multiple weak classifiers trained on different subsets of the data using boosting.
Gentle AdaBoost,A variant of the Adaboost algorithm that adjusts the weights of the training samples using a smoothing function to reduce the influence of outliers.
Real AdaBoost,A variant of the Adaboost algorithm that incorporates real-valued weights to improve the handling of continuous data.
Decision Stump,A simple decision tree with a single split that is used as a building block for more complex trees or ensembles.
Reduced Error Pruning Tree (REPTree),A decision tree algorithm that prunes the tree after construction to reduce overfitting and improve generalization.
Linear Kernel,A type of kernel function that measures the dot product between the input vectors in the feature space.
Polynomial Kernel,A type of kernel function that maps the input vectors to a higher-dimensional space and measures the dot product of their polynomial expansion.
Modular Neural Network,A neural network architecture that consists of multiple subnetworks that are trained separately and combined to form the final output.
Fuser Neural Network,A neural network architecture that combines the outputs of multiple networks using a fusion layer to improve classification accuracy.
Principal Component Analysis (PCA),A dimensionality reduction technique that transforms high-dimensional data into a lower-dimensional representation while retaining the most important information by identifying orthogonal axes of maximum variance.
Adaptive Resonance Theory,"A neural network model that dynamically adjusts its weights and connections to self-organize and adapt to new input patterns, allowing for robust learning and classification in an unsupervised manner."
Natural Language Processing Multilayer Artificial Neural Network (NLPMANN),NLPMANN (Natural Language Processing Multilayer Artificial Neural Network): A multilayer neural network architecture specifically designed for natural language processing tasks.
Autoregressive Generalized Regression Neural Network (AR-GRNN),AR-GRNN (AutoRegressive Generalized Regression Neural Network): A generalized regression neural network that incorporates autoregressive components for time series forecasting.
Adaptive Dynamic Neural Network (ADNN),ADNN (Adaptive Dynamic Neural Network): A neural network model that adapts its architecture and parameters based on the input data to improve learning and generalization.
Artificial Neural Network for Time Series (AWNN),AWNN (Artificial Neural Network for Time Series): A neural network model specifically designed for time series analysis and forecasting.
Generalized Exponential Fuzzy Time Series with Regression Neural Network (GEFTS-GRNN),GEFTS-GRNN (Generalized Exponential Fuzzy Time Series with General Regression Neural Network): A hybrid model that combines fuzzy time series and generalized regression neural network for time series forecasting.
Artificial Neural Network with Simulated Annealing (ANN-SA),ANN-SA (Artificial Neural Network with Simulated Annealing): A neural network model that uses simulated annealing as an optimization technique to find the optimal weights and biases.
Neural Wavelet-Embedded Echo State Network (NWESN),NWESN (Neural Wavelet-Embedded Echo State Network): A recurrent neural network model that incorporates wavelet analysis for feature extraction and utilizes echo state networks for time series prediction.
Binary Activation Echo State Network (BAESN),"BAESN (Binary Activation Echo State Network): An echo state network that uses binary activation functions in the reservoir layer, resulting in a more efficient and compact network."
Multiple Echo State Network (MESN),MESN (Multiple Echo State Network): A network architecture that combines multiple echo state networks to enhance the modeling and prediction capabilities.
Local and Nonlocal Artificial Neural Network (L&NL-ANN),L&NL-ANN (Local and Nonlocal Artificial Neural Network): A neural network model that combines local and nonlocal learning mechanisms to capture both local and global patterns in the input data.
Autoregressive Integrated Moving Average with Artificial Neural Network (ARIMA-ANN),ARIMA-ANN (AutoRegressive Integrated Moving Average with Artificial Neural Network): A hybrid model that combines the autoregressive integrated moving average model with an artificial neural network for time series forecasting.
Support Vector Regression with Neural Network and Genetic Algorithm (SVR-NN-GA),"SVR-NN-GA (Support Vector Regression with Neural Network and Genetic Algorithm): A model that combines support vector regression, neural networks, and genetic algorithms for improved regression analysis and prediction."
Echo State Reservoir Neural Network with Spiking Time Neural Network (ERNN-STNN),ERNN-STNN (Echo State Reservoir Neural Network with Spiking Time Neural Network): A hybrid neural network model that combines the echo state reservoir network with the spiking time neural network for time series prediction.
Quaternion-Valued Neural Networks (QNN),"Neural networks that operate on quaternion-valued data, which extends the traditional real-valued or complex-valued neural networks to capture higher-dimensional relationships and complex interactions in the data."
Quaternion Convolutional Neural Network (QCNN),"A convolutional neural network architecture that operates on quaternion-valued input data, allowing for the representation and processing of spatial information with quaternion algebra, suitable for tasks such as image analysis and computer vision in 3D space."
Shuffled Frog Leaping Algorithm (SFLA),"The Shuffled Frog Leaping Algorithm (SFLA) is a population-based optimization algorithm inspired by the behavior of frog populations, where solutions are iteratively improved by shuffling and combining information from the best-performing individuals, leading to enhanced exploration and exploitation of the search space for solving optimization problems."
Multi-Graph Neural Network,"A multi-graph neural network is a machine learning method that operates on multiple interconnected graphs, leveraging their structural relationships to learn and make predictions."
Synchronous Stochastic Gradient Descent,"Synchronous stochastic gradient descent is a machine learning optimization algorithm that updates model parameters using stochastic gradient descent in parallel across multiple compute nodes, allowing for efficient distributed training and convergence."
Multi-Agent Q-Learning,"Multi-agent Q-learning is a reinforcement learning method where multiple agents learn through interaction with an environment and share a Q-value table to make decisions, enabling cooperative or competitive behavior among the agents."
Multi-Agent SARSA,"Multi-agent SARSA is a reinforcement learning method that extends the SARSA algorithm to multiple agents, allowing them to learn from experiences, update action-value estimates, and make decisions in a cooperative or competitive setting."
ARMA,"ARMA (Autoregressive Moving Average) is a time series forecasting method that models the relationship between an observation and a linear combination of its past values and past error terms, capturing both autoregressive and moving average components in the data."
Discrete Wavelet Transform (DWT),"DWT (Discrete Wavelet Transform) is a signal processing technique that decomposes a signal into different frequency subbands, allowing for analysis and feature extraction at multiple scales."
Multi-Head Attention (MHA),"Multi-head attention (MHA) is a mechanism used in neural networks, particularly in transformer models, where the input is attended to multiple times in parallel, allowing the model to focus on different aspects of the input and capture diverse patterns and relationships."
Tree-Based LSTM,"Tree-based LSTM is a machine learning method that incorporates the hierarchical structure of trees into Long Short-Term Memory (LSTM) networks, enabling the modeling and prediction of sequential data with tree-like dependencies, such as natural language syntax or genealogical relationships."
Compact MDP Model (CMM),"Compact MDP Model (CMM) refers to a condensed representation of an MDP that reduces its size by exploiting structural properties, enabling more efficient computation and analysis of the decision-making process in large-scale problems."
Multi-Step Q-Learning,Multi-step Q-learning is a reinforcement learning technique that extends the traditional Q-learning algorithm by considering multiple future steps ahead to make more informed decisions in sequential decision-making tasks.
Self-Adaptive Neural Network,"Self-adapt neural network refers to a neural network architecture or learning approach that incorporates self-adaptation mechanisms, allowing the network to dynamically adjust its structure, parameters, or learning process based on the task or data characteristics."
Multi-Modal Deep Learning,"Multi-modal deep learning involves the integration of multiple data modalities, such as images, text, and audio, into deep learning models to learn representations that capture complex relationships and interactions across different types of data."
Fuzzy Cognitive Maps (FCM),"Fuzzy Cognitive Maps (FCM) is a computational modeling technique that represents the causal relationships between concepts using fuzzy logic, allowing for the simulation and analysis of complex systems with uncertain and imprecise knowledge."
Meta-Heuristic,"Meta-heuristic is a high-level optimization method that guides the search for optimal solutions by iteratively exploring and exploiting a set of candidate solutions based on inspiration from natural or abstract processes, such as genetic algorithms, simulated annealing, or particle swarm optimization."
Parallel Transfer Learning (PTL),"Parallel Transfer Learning (PTL) is a machine learning method that leverages knowledge learned from multiple related source tasks to improve performance on a target task, by simultaneously transferring knowledge across tasks."
Multi-Agent Reinforcement Learning (MARL),"Multi-agent reinforcement learning is a machine learning method in which multiple agents interact with an environment, learning to make decisions and collaborate with each other to achieve a common goal."
Label-Selective Convolutional Neural Network (LSCNN),"LSCNN (Label-Selective Convolutional Neural Network) is a machine learning method specifically designed for multi-label text classification tasks, where it employs label-selective attention mechanisms to capture relationships between input texts and their corresponding labels."
CodeBERT,"CodeBERT is a machine learning method that utilizes a pre-trained transformer-based model to learn contextual representations of code, enabling various downstream code-related tasks such as code summarization, code translation, or code completion."
